workbookRepoUrl,title,defaultViewName,viewCount,numberOfFavorites,authorDisplayName,authorProfileName,defaultViewRepoUrl,profileName,VOTD_flag
WOW2022_W39_WherewereCOVID-19CasesmostactiveonDecember30th2021,"WOW2022_W39_Where were COVID-19 Cases most active on December 30th,2021?",goal,27,0,YusukeNakanishi,yusukenakanishi,WOW2022_W39_WherewereCOVID-19CasesmostactiveonDecember30th2021/sheets/goal,yusukenakanishi,
MOM2022W38_InternetspeedsinEuropearegettingfasterandfaster,MOM2022W39_Internet speeds in Europe are getting faster and faster,goal,44,0,YusukeNakanishi,yusukenakanishi,MOM2022W38_InternetspeedsinEuropearegettingfasterandfaster/sheets/goal,yusukenakanishi,
MOM2022W37_BerkshireHathawayHoldings1994-2021,MOM2022W37_Berkshire Hathaway Holdings 1994-2021,goal,35,0,YusukeNakanishi,yusukenakanishi,MOM2022W37_BerkshireHathawayHoldings1994-2021/sheets/goal,yusukenakanishi,
WOW2022_W38_CanyoucreateaWaterfallPipelineusingSalesforceData,WOW2022_W38_Can you create a Waterfall Pipeline using Salesforce Data?,goal,26,0,YusukeNakanishi,yusukenakanishi,WOW2022_W38_CanyoucreateaWaterfallPipelineusingSalesforceData/sheets/goal,yusukenakanishi,
WOW2022_W37_Canyoucreateacommonstartingpoint,WOW2022_W37_Can you create a common starting point?,goal,17,0,YusukeNakanishi,yusukenakanishi,WOW2022_W37_Canyoucreateacommonstartingpoint/sheets/goal,yusukenakanishi,
WOW2022_W36_LetsbuildaMarrimekoChart,WOW2022_W36_Let’s build a Marrimeko Chart,goal,31,0,YusukeNakanishi,yusukenakanishi,WOW2022_W36_LetsbuildaMarrimekoChart/sheets/goal,yusukenakanishi,
MOM2022W36_MedianAgeatFirstMarriageinAmerica,MOM2022W36_Median Age at First Marriage in America,goal,82,1,YusukeNakanishi,yusukenakanishi,MOM2022W36_MedianAgeatFirstMarriageinAmerica/sheets/goal,yusukenakanishi,
WOW2022_W35_ConditionalTableFormattingwithDynamicHeaders,WOW2022_W35_Conditional Table Formatting with Dynamic Headers,goal,21,0,YusukeNakanishi,yusukenakanishi,WOW2022_W35_ConditionalTableFormattingwithDynamicHeaders/sheets/goal,yusukenakanishi,
MOM2022W35_MILITARYSPENDING,MOM2022W35_MILITARY SPENDING,goal,45,0,YusukeNakanishi,yusukenakanishi,MOM2022W35_MILITARYSPENDING/sheets/goal,yusukenakanishi,
WOW2022_W34_Whatistheaverageoccupancybyweekday,WOW2022_W34_What is the average occupancy by weekday?,goal,16,0,YusukeNakanishi,yusukenakanishi,WOW2022_W34_Whatistheaverageoccupancybyweekday/sheets/goal,yusukenakanishi,
MOM2018W44_Dowomenandmenwashtheirhands,MOM2018W44_Do women and men wash their hands?,goal,25,0,YusukeNakanishi,yusukenakanishi,MOM2018W44_Dowomenandmenwashtheirhands/sheets/goal,yusukenakanishi,
WOW2022_W33_CanyoucomparethelatestmonthtothepriorXmonthsaverage,WOW2022_W33_Can you compare the latest month to the prior X months average,Dashboard1,25,0,YusukeNakanishi,yusukenakanishi,WOW2022_W33_CanyoucomparethelatestmonthtothepriorXmonthsaverage/sheets/Dashboard1,yusukenakanishi,
MOM2018W45_USPopulationProjectionsbyAgeGroup2016-2060,"MOM2018W45_US Population Projections by Age Group, 2016-2060",Dashboard1,47,1,YusukeNakanishi,yusukenakanishi,MOM2018W45_USPopulationProjectionsbyAgeGroup2016-2060/sheets/Dashboard1,yusukenakanishi,
1_16604500064100,ブック1,1_1,31,0,YusukeNakanishi,yusukenakanishi,1_16604500064100/sheets/1_1,yusukenakanishi,
MOM2018W46_DiversityinTech2018,MOM2018W46_Diversity in Tech(2018),Dashboard2,25,0,YusukeNakanishi,yusukenakanishi,MOM2018W46_DiversityinTech2018/sheets/Dashboard2,yusukenakanishi,
WOW2022_W32_Canyoubuildadumbbellchart,WOW2022_W32_Can you build a dumbbell chart?,goal,23,0,YusukeNakanishi,yusukenakanishi,WOW2022_W32_Canyoubuildadumbbellchart/sheets/goal,yusukenakanishi,
WOW2022_W31_LetsbuildaKPIdashboard,WOW2022_W31_Let’s build a KPI dashboard,goal,35,0,YusukeNakanishi,yusukenakanishi,WOW2022_W31_LetsbuildaKPIdashboard/sheets/goal,yusukenakanishi,
WOW2022_W30_DynamicDatesinaHeatmap,WOW2022_W30_Dynamic Dates in a Heatmap,goal,17,0,YusukeNakanishi,yusukenakanishi,WOW2022_W30_DynamicDatesinaHeatmap/sheets/goal,yusukenakanishi,
MOM2018W47_TheHoursAmericansWorktoPayaMortage,MOM2018W47_The Hours Americans Work to Pay a Mortage,goal,34,0,YusukeNakanishi,yusukenakanishi,MOM2018W47_TheHoursAmericansWorktoPayaMortage/sheets/goal,yusukenakanishi,
MOM2018W48_Thecostofanightout,MOM2018W48_The cost of a night out,Dashboard1,34,0,YusukeNakanishi,yusukenakanishi,MOM2018W48_Thecostofanightout/sheets/Dashboard1,yusukenakanishi,
20220727Tableau,20220727　ひろしまの観光データを可視化してみましょう！ 【中国Tableauユーザー会ｘＨＩＴ（広島県観光連盟）】,goal,170,3,YusukeNakanishi,yusukenakanishi,20220727Tableau/sheets/goal,yusukenakanishi,
WOW2022_W29_WhatistheTime-WeightedReturn,WOW2022_W29_What is the Time-Weighted Return?,goal,26,0,YusukeNakanishi,yusukenakanishi,WOW2022_W29_WhatistheTime-WeightedReturn/sheets/goal,yusukenakanishi,
MOM2018W49_PercentageofMENandWOMENauthorsinTheNewYorkTimescrosswords,MOM2018W49_Percentage of MEN and WOMEN authors in The New York Times crosswords,goal,29,0,YusukeNakanishi,yusukenakanishi,MOM2018W49_PercentageofMENandWOMENauthorsinTheNewYorkTimescrosswords/sheets/goal,yusukenakanishi,
